rank,player,age,team,position,games,games_started,mins_played,field_goal,field_goal_atmpts,field_goal_pct,three_pt,three_pt_atmpts,three_pt_pct,two_pt,two_pt_atmpts,two_pt_pct,effective_field_goal_pct,free_throw,free_throw_atmpts,free_throw_pct,rebounds_offensive,rebounds_defensive,rebounds_total,assists,steals,blocks,turnovers,fouls,pts
1,Izaiah Brockington,24,NOP,PG,1,0,3,24,60,0.4,0,12,0,24,48,0.5,0.4,0,0,NA,12,12,24,0,0,0,0,0,48
2,Joel Embiid,29,PHI,C,39,39,1309,12.4,23.4,0.529,1.5,3.8,0.388,10.9,19.6,0.556,0.561,11,12.4,0.883,2.6,9.2,11.8,6,1.3,1.8,4.1,3.1,37.2
3,Luka Dončić,24,DAL,PG,70,70,2624,11,22.7,0.487,3.9,10.2,0.382,7.1,12.5,0.573,0.573,6.6,8.3,0.786,0.8,8.1,8.9,9.4,1.4,0.5,3.9,2,32.5
4,Shai Gilgeous-Alexander,25,OKC,PG,75,75,2553,11.2,21,0.535,1.3,3.8,0.353,9.9,17.2,0.576,0.567,8,9.2,0.874,0.9,4.9,5.9,6.6,2.1,0.9,2.3,2.6,31.8
5,Giannis Antetokounmpo,29,MIL,PF,73,73,2567,11.7,19.2,0.611,0.5,1.7,0.274,11.3,17.5,0.645,0.624,7.2,11,0.657,2.7,9,11.8,6.7,1.2,1.1,3.5,2.9,31.2
6,Jalen Brunson,27,NYK,PG,77,77,2726,10.4,21.8,0.479,2.8,6.9,0.401,7.6,14.8,0.516,0.543,5.6,6.6,0.847,0.6,3.1,3.7,6.9,0.9,0.2,2.5,1.9,29.2
7,Luka Garza,25,MIN,C,25,0,122,10.6,22.1,0.48,2.7,9.4,0.281,8,12.7,0.628,0.54,5.3,7.4,0.72,5.6,3.5,9.1,1.2,1.2,0.3,1.8,7.1,29.2
8,Stephen Curry,35,GSW,PG,74,74,2421,9.7,21.5,0.45,5.3,13,0.408,4.4,8.5,0.515,0.573,4.4,4.8,0.923,0.6,4.4,4.9,5.6,0.8,0.4,3.1,1.7,29.1
9,Nikola Jokić,28,DEN,C,79,79,2737,10.8,18.6,0.583,1.1,3,0.359,9.7,15.5,0.626,0.612,4.7,5.8,0.817,2.9,9.9,12.8,9.3,1.4,0.9,3.1,2.6,27.4
10,Devin Booker,27,PHO,PG,68,68,2447,9.4,19.2,0.492,2.2,6.1,0.364,7.2,13,0.552,0.55,6,6.7,0.886,0.8,3.7,4.5,6.9,0.9,0.4,2.6,3,27.1
